Timestamp	SoftVFC RR	SoftVFC RR FIL	Artifact	LAP	Peak RR
2014-01-06 00:54:42.862	355	355	0	0	1.1127854E-10	
2014-01-06 00:54:43.241	371	371	0	0	1.7958142E-10	
2014-01-06 00:54:43.62	377	377	0	0	1.05865046E-10	
2014-01-06 00:54:44.002	369	369	0	0	1.5863291E-10	
2014-01-06 00:54:44.257	372	372	0	0	1.5863291E-10	
2014-01-06 00:54:44.639	381	381	0	0	1.4961803E-10	
2014-01-06 00:54:45.023	484	484	0	0	1.3912795E-10	
2014-01-06 00:54:46.167	313	313	0	0	1.0454067E-10	
2014-01-06 00:54:46.546	362	362	0	0	2.256581E-10	
2014-01-06 00:54:46.929	372	372	0	0	1.15146156E-10	
2014-01-06 00:54:47.309	370	370	0	0	1.3177347E-10	
2014-01-06 00:54:47.688	385	385	0	0	2.1762943E-10	
2014-01-06 00:54:48.071	362	362	0	0	1.698888E-10	
2014-01-06 00:54:48.452	369	369	0	0	1.7195827E-10	
2014-01-06 00:54:48.834	374	374	0	0	1.6536299E-10	
2014-01-06 00:54:49.213	383	383	0	0	1.8965181E-10	
2014-01-06 00:54:49.469	372	372	0	0	1.5243334E-10	
2014-01-06 00:54:49.849	373	373	0	0	1.3379062E-10	
2014-01-06 00:54:50.235	355	355	0	0	1.665909E-10	
2014-01-06 00:54:50.615	378	378	0	0	1.5586112E-10	
2014-01-06 00:54:50.651	372	372	0	0	1.5586112E-10	
2014-01-06 00:54:50.993	379	379	0	0	1.4866011E-10	
2014-01-06 00:54:51.372	429	429	0	0	2.148772E-10	
2014-01-06 00:54:51.755	315	315	0	0	2.4727448E-10	
2014-01-06 00:54:52.141	422	422	0	0	1.646834E-10	
2014-01-06 00:54:52.55	346	346	0	0	1.5327671E-10	
2014-01-06 00:54:52.9	374	374	0	0	1.2422904E-10	
2014-01-06 00:54:53.273	372	372	0	0	1.6492809E-10	
2014-01-06 00:54:53.662	337	337	0	0	1.3020827E-10	
2014-01-06 00:54:54.041	364	364	0	0	2.2574773E-10	
2014-01-06 00:55:05.556	406	406	0	0	1.3661491E-10	
2014-01-06 00:55:05.858	372	372	0	0	9.7808775E-11	
2014-01-06 00:55:06.239	378	378	0	0	1.2870852E-10	
2014-01-06 00:55:08.071	358	358	0	0	1.4372055E-10	
2014-01-06 00:55:08.146	348	348	0	0	1.4372055E-10	
2014-01-06 00:55:08.527	366	366	0	0	1.6749728E-10	
2014-01-06 00:55:08.785	371	371	0	0	1.3784315E-10	
2014-01-06 00:55:09.164	371	371	0	0	1.6211414E-10	
2014-01-06 00:55:09.546	395	395	0	0	1.00094176E-10	
2014-01-06 00:55:09.927	375	375	0	0	1.340816E-10	
2014-01-06 00:55:10.2	345	345	0	0	2.6753272E-10	
2014-01-06 00:55:10.247	372	372	0	0	2.6753272E-10	
2014-01-06 00:55:10.291	372	372	0	0	2.6753272E-10	
2014-01-06 00:55:10.334	455	455	0	0	2.6753272E-10	
2014-01-06 00:55:10.378	372	372	0	0	2.6753272E-10	
2014-01-06 00:55:10.422	372	372	0	0	2.6753272E-10	
2014-01-06 00:55:10.464	360	360	0	0	2.6753272E-10	
2014-01-06 00:55:10.508	372	372	0	0	2.6753272E-10	
2014-01-06 00:55:10.554	372	372	0	0	2.6753272E-10	
2014-01-06 00:55:10.612	372	372	0	0	9.978308E-11	
2014-01-06 00:55:10.66	352	352	0	0	9.978308E-11	
2014-01-06 00:55:10.71	368	368	0	0	1.008007E-10	
2014-01-06 00:55:10.757	372	372	0	0	1.008007E-10	
2014-01-06 00:55:10.8	372	372	0	0	1.008007E-10	
2014-01-06 00:55:10.842	330	330	0	0	1.008007E-10	
2014-01-06 00:55:11.076	376	376	0	0	1.5975271E-10	
2014-01-06 00:55:11.46	360	360	0	0	1.0241681E-10	
2014-01-06 00:55:11.843	380	380	0	0	1.9746568E-10	
2014-01-06 00:55:12.218	364	364	0	0	1.4631564E-10	
2014-01-06 00:55:12.547	372	372	0	0	1.1895661E-10	
2014-01-06 00:55:12.602	387	387	0	0	1.317192E-10	
2014-01-06 00:55:14.391	405	405	0	0	1.4299364E-10	
2014-01-06 00:55:14.763	331	331	0	0	1.3747102E-10	
2014-01-06 00:55:15.146	367	367	0	0	9.330944E-11	
2014-01-06 00:55:15.529	370	370	0	0	2.1920642E-10	
2014-01-06 00:55:15.912	382	382	0	0	2.0067004E-10	
2014-01-06 00:55:16.287	444	444	0	0	1.9190484E-10	
2014-01-06 00:55:16.67	333	333	0	0	1.642551E-10	
2014-01-06 00:55:17.053	349	349	0	0	1.574351E-10	
